Date,Credits,Debits,Balance,Description,Category
12-28,,10.12,26.85,POS DB MCDONALD'S F36333 HOUSTON TX 000000000705644,food
12-28,,11.0,15.85,POS DB MCDONALD'S F36333 HOUSTON TX 000000000696229,food
12-30,,14.46,297.24,POS DB KROGER FU 1440 STUDEMO HOUSTON TX 000000000890293,food
12-31,,3.0,404.24,POS DB ZEL*JOE ERVIN Minneapolis MN 000000000733486,other
12-31,,14.67,389.57,POS DB IN N OUT BURGER 357 HOUSTON TX 000000000186714,transport
12-31,,21.65,367.92,POS DB PANCO FOOD MART HOUSTON TX 000000000998040,transport
12-31,,196.82,171.10,POS DB SPRINT WIRELESS 800-639-6111 KS 000000000610867,other
01-01,,13.28,157.82,POS DB TST* BUNSLUT - CYPRESS HOUSTON TX 000000000164364,food
01-01,,21.12,136.70,POS DB TST* BUNSLUT - CYPRESS HOUSTON TX 000000000167873,food
01-01,,66.92,69.78,POS DB BUC-EE'S #40 KATY TX 000000000915067,transport
01-02,,2.71,67.07,POS DB CKO*PATREON* MEMBERSHI 833-9728766 CA 000000000255549,other
01-02,,3.25,63.82,POS DB CKO*PATREON* MEMBERSHI 833-9728766 CA 000000000360946,other
01-02,,10.81,53.01,POS DB NETFLIX.COM 866-5797172 CA 000000000207544,other
01-03,,37.24,190.77,POS DB TST* SEASIDE LOUNGE HOUSTON TX 000000000149511,food
01-04,,8.31,205.46,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000552532,food
01-05,,4.65,236.81,POS DB CHICK-FIL-A #03853 HOUSTON TX 000000000062453,food
01-05,,14.04,222.77,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000674761,food
01-05,,15.65,207.12,POS DB AFTERPAY SAN FRANCISCO CA 000000000629889,transport
01-05,,20.26,186.86,POS DB MURPHY7788ATWALMART HOUSTON TX 000000000409791,food
01-05,,25.0,161.86,POS DB ZEL*FERNANDO LOPEZ Columbus OH 000000000769879,food
01-05,,38.28,123.58,POS DB STAR PIZZA - 2 HOUSTON TX 000000000729982,food
01-06,,1.61,700.76,POS DB VAPE CITY HOUSTON HOUSTON TX 000000000144524,food
01-06,,7.89,692.87,POS DB AMC 0162 WILLOWBROOK 2 HOUSTON TX 000000000155786,food
01-06,,12.42,680.45,POS DB VAPE CITY HOUSTON HOUSTON TX 000000000144442,food
01-06,,15.41,665.04,POS DB MCDONALD'S F36333 HOUSTON TX 000000000884846,food
01-06,,40.97,624.07,POS DB MIYABI SUSHI & RAMEN HOUSTON TX 000000000074711,food
01-06,,41.75,582.32,POS DB AMC ONLINE 9640 LEAWOOD KS 000000000152197,other
01-07,,20.0,582.32,POS DB APPLE CASH - SENT MONE CUPERTINO CA 000000000672603,clothes
01-07,,196.82,385.50,POS DB SPRINT WIRELESS 800-639-6111 KS 000000000195248,other
01-08,,14.38,371.12,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000430260,food
01-08,,25.0,346.12,POS DB DOWNTOWN FOOD MART HOUSTON TX 000000000799648,transport
01-08,,86.59,259.53,POS DB PLUCKERS - SKINNER - R CYPRESS TX 000000000173483,clothes
01-09,,23.58,349.95,POS DB FRANKS PIZZA - HOUSTON HOUSTON TX 000000000150373,food
01-10,,5.79,492.16,POS DB 011 TORCHYS SHEPHERD HOUSTON TX 000000000120271,food
01-10,,9.71,482.45,POS DB WALGREENS 950 STUDEMON HOUSTON TX 000000000487427,food
01-10,,14.38,468.07,POS DB TROPICAL SMOOTHIE CAFE HOUSTON TX 000000000320155,food
01-10,,16.24,451.83,POS DB INSOMNIA COOKIES - H HOUSTON TX 000000000125661,food
01-10,,46.17,405.66,POS DB 011 TORCHYS SHEPHERD HOUSTON TX 000000000118120,food
01-11,,5.85,399.81,POS DB STUEBNER AIRLINE MART HOUSTON TX 000000000012884,food
